EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
668 - Jet Black,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C57DE799129,,E799129,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,07-09-2012,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C53DE799130,,E799130,"MSRP.1,ZPP.3,302,403,6FL",,,07-09-2012,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C55DE799131,,E799131,"MSRP.1,ZCP,ZCW,ZPP.3,302,403,6FL,655",,,07-09-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C57DE799132,,E799132,"MSRP.1,ZCP,ZCW,ZPP.3,302,5AC,6FL,6NF,6NR,655,752",,,07-09-2012,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C59DE799133,,E799133,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,655,752",,,07-09-2012,550,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2013,WBSKG9C50DE799134,,E799134,"MSRP.1,ZCP,ZCW,ZPP.1,302,6FL,752",,,07-09-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C52DE799135,,E799135,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,655",,,07-09-2012,550/1100,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C54DE799136,,E799136,"MSRP.1,ZCP,ZCW,2MK,302,322,415,4MY,507,609,6FL,655,752",,,07-09-2012,950,,CAN,,,,,,,,
A96 - Mineral White Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C56DE799137,,E799137,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,752",,,07-10-2012,1100,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C58DE799138,,E799138,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,752",,,07-10-2012,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799139,,E799139,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-10-2012,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C56DE799140,,E799140,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,752",,,07-11-2012,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C58DE799141,,E799141,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,07-12-2012,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C5XDE799142,,E799142,"MSRP.1,ZCP,ZPP.3,2MK,302,5AC,6FL,752",,,07-12-2012,550/1100,,,,,,,,,,
A96 - Mineral White Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C51DE799143,,E799143,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,752",,,07-13-2012,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C53DE799144,,E799144,"MSRP.1,ZCP,ZPP.3,302,6FL,6NF,6NR,655",,,07-13-2012,550,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C55DE799145,,E799145,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,752",,,07-13-2012,1100,,,,,,,,,,
