EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
W73 - Polar Silver Metallic w. Red Accents A117,,Z1XX - IND. INTERIOR,2012,WBSPK910X0E810842,,,,,,,,#45-LHD,"05605 Meerschman Aalst , Aalst",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A118,,Z1XX - IND. INTERIOR,2012,WBSPK91010E810843,,,,,,,,#46-LHD,"29307 Spaett GmbH & Co. KG , Ismaning",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A119,,Z1XX - IND. INTERIOR,2012,WBSPK91030E810844,,,,,,,,#47-LHD,"44131 Bilia Group Göteborg AB , Strömstad",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A120,,Z1XX - IND. INTERIOR,2012,WBSPK91050E810845,,,,,,,,#48-LHD,"31366 Sepp Fässler (Wil) AG , Wil",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A121,,Z1XX - IND. INTERIOR,2012,WBSPK91070E810846,,,,,,,,#49-LHD,N/A,,,,,,,
W73 - Polar Silver Metallic w. Red Accents A122,,Z1XX - IND. INTERIOR,2012,WBSPK91090E810847,,,,,,,,#50-LHD,"07029 Sepp Fässler AG , Appenzell",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A123,,Z1XX - IND. INTERIOR,2012,WBSPK91000E810848,,,,,,,,#51-LHD,"40419 STORE MONACO MONACO (SERVICE) , MONACO",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A124,,Z1XX - IND. INTERIOR,2012,WBSPK91020E810849,,,,,,,,#52-LHD,"31366 Sepp Fässler (Wil) AG , Wil",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A125,,Z1XX - IND. INTERIOR,2012,WBSPK9105BE810850,,,,,,,,#53-LHD,"20278 Alfardan Automobiles Co. (Al Sadd) Al Sadd Showroom , Doha",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A126,,Z1XX - IND. INTERIOR,2012,WBSPK91000E810851,,,,,,,,#54-LHD,"30631 Bickel Auto AG , Frauenfeld",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A127,,Z1XX - IND. INTERIOR,2012,WBSPK9109BE810852,,,,,,,,#55-LHD,"26282 Abu Dhabi Motors LLC Sanaiya Showroom&Service , Al Ain",,,,,,,
W73 - Polar Silver Metallic w. Red Accents A128,,Z1XX - IND. INTERIOR,2012,WBSPK91040E810853,,,,,,,,#56-LHD,"07029 Sepp Fässler AG , Appenzell",,,,,,,
