EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351842,,V351842,2MK,,"Nov 13, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351843,,V351843,2MK,,"Nov 16, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351844,,V351844,2MK,,"Nov 16, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351845,,V351845,2MK,,"Nov 19, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351846,,V351846,2MK,,"Nov 19, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351847,,V351847,2MK,,"Nov 19, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351848,,V351848,2MK,,"Nov 20, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351849,,V351849,2MK,,"Nov 19, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351850,,V351850,2MK,,"Nov 23, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351851,,V351851,2MK,,"Nov 21, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351852,,V351852,2MK,,"Nov 21, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351853,,V351853,2MK,,"Nov 21, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351854,,V351854,2MK,,"Nov 21, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351855,,V351855,2MK,,"Nov 20, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351856,,V351856,2MK,,"Nov 20, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351857,,V351857,2MK,,"Nov 20, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351858,,V351858,2MK,,"Nov 23, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351859,,V351859,2MK,,"Nov 24, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351860,,V351860,2MK,,"Nov 24, 2015",,,,"BMW OF NORTH AMERICA, Montvale, US",,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351861,,V351861,2MK,,"Nov 23, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351862,,V351862,2MK,,"Nov 23, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C52GV351863,,V351863,2MK,,"Nov 23, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C54GV351864,,V351864,2MK,,"Nov 23, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C56GV351865,,V351865,2MK,,"Nov 26, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C58GV351866,,V351866,2MK,,"Nov 25, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351867,,V351867,2MK,,"Nov 26, 2015",,,,No information,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351868,,V351868,2MK,,"Nov 25, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351869,,V351869,2MK,,"Nov 25, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C5XGV351870,,V351870,,,"Nov 27, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C51GV351871,,V351871,,,"Nov 26, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C53GV351872,,V351872,2MK,,"Nov 27, 2015",,,,No information,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C55GV351873,,V351873,2MK,,"Nov 27, 2015",,,,No information,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C57GV351874,,V351874,,,"Nov 27, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C59GV351875,,V351875,2MK,,"Nov 26, 2015",,,,No information,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1H9C50GV351876,,V351876,2MK,,"Nov 26, 2015",,,,No information,,,,,,,
