EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
,,,,,,,,,,,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C52AP362424,,P362424,"MSRP,ZCW,2MT.1,223,6FL,771,863",,,09-02-2009,550/950,,,,,,,,,,
300 - Alpine White,,NCH1 - Silver Novillo Leather,,WBSWD9C54AP362425,,P362425,"MSRP,2MT.1,4MX,655",,,09-02-2009,950,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,,WBSWD9C56AP362426,,P362426,"MSRP,ZCW,ZPP.1,ZTP,2MT.1,302,6FL,6NF,655,752",,,09-02-2009,550,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCH3 - Beige Novillo Leather,,WBSWD9C58AP362427,,P362427,"MSRP,ZPP.3,ZTP,2MK,2MT.1,302,415,507,6FL,6NF,653",,,09-02-2009,550,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,,WBSWD9C5XAP362428,,P362428,"MSRP,ZCW,ZPP.1,ZTP,2MT.1,302,507,6FL,653,752",,,09-02-2009,550,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,,WBSWD9C51AP362429,,P362429,"MSRP,ZPP.1,ZTP,6FL,6NF,653",,,09-02-2009,550,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,,WBSWD9C58AP362430,,P362430,"MSRP,ZCW,ZPP.2,ZTP,2MK,6FL,6NF,653,655",,,09-02-2009,,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C5XAP362431,,P362431,"MSRP,ZCW,ZPP.3,ZTP,2MK,415,6FL,6NF,653,655,752",,,09-02-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C51AP362432,,P362432,"MSRP,ZCW,ZPP.1,ZTP,2MK,2MT.1,302,6FL,653,655,752",,,09-02-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C53AP362433,,P362433,"MSRP,ZPP.3,2MK,322,609,6FL,6NF,653,752",,,09-02-2009,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,,WBSWD9C55AP362434,,P362434,"MSRP,ZCW,ZPP.3,ZTP,302,6FL",,,09-03-2009,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C57AP362435,,P362435,"MSRP,ZPP.3,ZTP,2MK,6FL",,,09-03-2009,,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,,WBSWD9C59AP362436,,P362436,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,415,507,6FL,6NF,653,655,752",,,09-03-2009,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,,WBSWD9C50AP362437,,P362437,"MSRP,ZPP.3,ZTP,2MK,2MT.1,403,507,6FL,6NF,653,655,752",,,09-03-2009,1100,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCSW - Black Novillo Leather,,WBSWD9C52AP362438,,P362438,"MSRP,ZCW,ZPP.3,ZTP,2MT.1,302,403,507,6FL,653,863",,,09-03-2009,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,,WBSWD9C54AP362439,,P362439,"MSRP,ZCW,ZTP,2MK,2MT.1,302,403,4MY,507,6FL,653,655,752",,,09-03-2009,950,,,,,,,,,,
