EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSPM93599E201046,,E201046,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,403,507,6FL,653,655",,"$68,870.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSPM93509E201047,,E201047,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,6FL,653,752",,"$70,025.00",,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSPM93529E201048,,E201048,"MSRP.2,ZPP.3,ZTP,2MT.1,6FL,653",,"$64,175.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,GEAT - Anthracite/Black Cloth & Leather,2009,WBSPM93549E201049,,E201049,"MSRP.2,ZPP.3,6FL",,"$59,375.00",,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSPM93509E201050,,E201050,"MSRP.2,465,4MY,6FL",,"$58,350.00",,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93529E201051,,E201051,"MSRP.2,ZPP.2,ZTP,2MK,2MT.1,465,507,6FL,653",,"$67,900.00",,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93549E201052,,E201052,"MSRP.2,ZPP.2,223,403,417,494,6FL,653,655",,"$63,445.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93569E201053,,E201053,"MSRP.2,ZPP.3,403,609,6FL,653,655,752",,"$65,370.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSPM93589E201054,,E201054,"MSRP.2,ZCW,ZPP.3,ZTP,2MT.1,403,507,653,655,863",,"$66,770.00",,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSPM935X9E201055,,E201055,"MSRP.2,ZPP.3,ZTP,2MT.1,6FL,653",,"$64,175.00",,,,,,,,,,,,
A75 - Melbourne Red Metallic,,NDH3 - Beige Novillo Extended Leather,2009,WBSPM93519E201056,,E201056,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,417,507,6FL,653,655,752",,"$72,545.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93539E201057,,E201057,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,494,507,6FL,653,752",,"$69,825.00",,,,,,,,,,,,
668 - Jet Black,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93559E201058,,E201058,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,507,6FL,653,655",,"$69,070.00",,,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2009,WBSPM93579E201059,,E201059,"MSRP.2,ZCW,ZPP.1,2MK,2MT.1,417,6FL,653,655",,"$65,995.00",,,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93539E201060,,E201060,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,417,507,6FL,6NF,653,752",,"$72,100.00",,,,,,,,,,,,
381 - Le Mans Blue Metallic,,NDSW - Black Extended Novillo Leather,2009,WBSPM93559E201061,,E201061,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,465,507,6FL,653,655,752",,"$71,445.00",,,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93579E201062,,E201062,"MSRP.2,ZTP,2MK,2MT.1,403,465,4MY,6FL,653,655",,"$67,695.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2009,WBSPM93599E201063,,E201063,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,2MT.1,403,417,507,653,655,752",,"$72,145.00",,,,,,,,,,,,
A22 - Sparkling Graphite Metallic ,,NDH2 - Fox Red Extended Leather,2009,WBSPM93509E201064,,E201064,"MSRP.2,ZCW,ZPP.3,ZTP,403,417,507,6FL,653,655,752",,"$68,445.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2009,WBSPM93529E201065,,E201065,"MSRP.2,ZPP.2,ZTP,2MK,2MT.1,403,465,507,6FL,653,655,752",,"$71,445.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2009,WBSPM93549E201066,,E201066,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,417,507,653,655",,"$69,195.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2009,WBSPM93569E201067,,E201067,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,403,465,507,6FL,653",,"$68,950.00",,,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93589E201068,,E201068,"MSRP.2,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,417,507,6FL,6NF,653,655,752",,"$72,695.00",,,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM935X9E201069,,E201069,"MSRP.2,ZPP.1,223,403,417,465,494,6FL,6NF",,"$63,125.00",,,,,,,,,,,,
300 - Alpine White,,NCH1 - Silver Novillo Leather,2009,WBSPM93569E201070,,E201070,"MSRP.2,ZPP.3,ZTP,2MK,2MT.1,494,6FL,653,655,752",,"$70,070.00",,,,,,,,,,,,
300 - Alpine White,,NDH3 - Beige Novillo Extended Leather,2009,WBSPM93589E201071,,E201071,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,2MT.1,403,6FL,653,752",,"$71,025.00",,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSPM935X9E201072,,E201072,"MSRP.2,ZPP.3,2MK,403,507,609,6FL,653,752",,"$68,025.00",,,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2009,WBSPM93519E201073,,E201073,"MSRP.2,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,863",,"$67,150.00",,,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2009,WBSPM93539E201074,,E201074,"MSRP.2,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,6NF,653,752,863",,"$69,200.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH3 - Beige Novillo Leather,2009,WBSPM93559E201075,,E201075,"MSRP.2,ZCW,ZPP.2,ZTP,2MK,2MT.1,403,6FL,653,655,752",,"$71,620.00",,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2009,WBSPM93579E201076,,E201076,"MSRP.2,ZPP.2,2MK,2MT.1,403,465,6FL,655",,"$65,595.00",,,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2009,WBSPM93599E201077,,E201077,"MSRP.2,ZPP.3,ZTP,2MK,403,417,465,507,6FL,6NF,653,752",,"$70,375.00",,,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2009,WBSPM93509E201078,,E201078,"MSRP.2,ZCW,2MT.1,4MZ,507",,"$60,025.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSPM93529E201079,,E201079,"MSRP.2,ZCW,ZPP.1,2MK,223,6FL,653,655",,"$65,220.00",,,,,,,,,,,,
