EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2008,WBSVA93508E041010,,E041010,"MSRP.3,ZCW,223,4MX,609,6FL,653,752",,"$65,650.00","Jun 13, 2007",475/2000,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93528E041011,,E041011,"MSRP.3,ZTP,2MT.1,417,465,494,4MX,6FL,752",,"$67,200.00","Jun 14, 2007",475/2000,,,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSVA93548E041012,,E041012,"MSRP.3,ZCW,ZTP,2MT.1,302,417,507,752,771",,"$65,075.00","Jun 21, 2007",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH2 - Fox Red Extended Leather,2008,WBSVA93568E041013,,E041013,"MSRP.3,ZCW,ZTP,2MT.1,302,417,507,752,771",,"$67,075.00","Jun 21, 2007",475/2000,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDH3 - Beige Novillo Extended Leather,2008,WBSVA93588E041014,,E041014,"MSRP.3,ZCW,ZTP,2MT.1,302,403,417,4MY,507,655,752",,"$69,220.00","Jul 9, 2007",475/2000,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCSW - Black Novillo Leather,2008,WBSVA935X8E041015,,E041015,"MSRP.3,ZCW,ZPP.3,ZTP,403,6FL,653",,"$64,350.00","Jul 11, 2007",475,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSVA93518E041016,,E041016,"MSRP.3,ZCW,ZPP.1,302,403,417,507",,"$61,200.00","Jul 11, 2007",,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041017,,E041017,"MSRP.3,ZCW,ZTP,302,403,4MZ,507,6FL,752",,"$67,250.00","Jul 11, 2007",475/2000,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH1 - Silver Novillo Leather,2008,WBSVA93558E041018,,E041018,"MSRP.3,ZCW,ZPP.2,ZTP,2MT.1,302,403,417,6FL,653",,"$66,525.00","Aug 30, 2007",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93578E041019,,E041019,"MSRP.3,ZPP.1,ZTP,2MT.1,403,465,6FL,653,655,752",,"$68,620.00","Aug 28, 2007",475/1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041020,,E041020,"MSRP.3,ZPP.1,ZTP,2MT.1,403,465,6FL,653,655,752",,"$68,145.00","Aug 29, 2007",1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2008,WBSVA93558E041021,,E041021,"MSRP.3,ZPP.1,ZTP,2MT.1,403,6FL,653,655",,"$66,245.00","Aug 29, 2007",475/1100,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93578E041022,,E041022,"MSRP.3,ZCW,ZPP.2,ZTP,2MT.1,403,417,6FL,655,752",,"$69,370.00","Aug 30, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH3 - Beige Novillo Extended Leather,2008,WBSVA93598E041023,,E041023,"MSRP.3,ZCW,ZPP.2,ZTP,2MT.1,302,417,6FL,752",,"$68,125.00","Sep 5, 2007",475/1100,,,,,,,,,,
A30 - Interlagos Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSVA93508E041024,,E041024,"MSRP.3,ZCW,2MT.1,223,302,403,417,609,639,6FL,655,752,771",,"$67,370.00","Sep 6, 2007",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93528E041025,,E041025,"MSRP.3,ZPP.1,ZTP,2MT.1,403,494,507,6FL,653,752",,"$68,400.00","Oct 4, 2007",475/1100,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93548E041026,,E041026,"MSRP.3,ZPP.3,ZTP,2MT.1,403,494,507,6FL,653",,"$66,500.00","Oct 5, 2007",475/1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSVA93568E041027,,E041027,"MSRP.3,ZTP,2MT.1,494,4MX,507,6FL,752,863",,"$66,025.00","Oct 5, 2007",2000,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2008,WBSVA93588E041028,,E041028,"MSRP.3,ZPP.1,2MT.1,302,322,403,494,6FL",,"$62,950.00","Oct 5, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA935X8E041029,,E041029,"MSRP.3,ZCW,ZPP.1,ZTP,302,403,417,507,6FL,752",,"$68,325.00","Oct 10, 2007",475/1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSVA93568E041030,,E041030,"MSRP.3,ZCW,ZPP.1,223,302,403,417,6FL,653,752",,"$64,500.00","Sep 25, 2007",,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93588E041031,,E041031,"MSRP.3,2MK,223,403,417,465,494,507,609,771",,"$66,300.00","Oct 24, 2007",475/950,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH2 - Fox Red Extended Leather,2008,WBSVA935X8E041032,,E041032,"MSRP.3,ZPP.3,ZTP,2MT.1,302,403,417,6FL,655,752",,"$68,770.00","Oct 26, 2007",475/1100,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCH3 - Beige Novillo Leather,2008,WBSVA93518E041033,,E041033,"MSRP.3,ZCW,ZPP.2,2MT.1,6FL",,"$60,900.00","Nov 21, 2007",475,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSVA93538E041034,,E041034,"MSRP.3,ZCW,2MT.1,4MX,6FL",,"$59,025.00","Nov 21, 2007",,,,,,,,,,,
A22 - Sparkling Graphite Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93558E041035,,E041035,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,6FL,653",,"$65,550.00","Nov 21, 2007",475,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSVA93578E041036,,E041036,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,507,6FL,653",,"$64,375.00","Nov 21, 2007",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSVA93598E041037,,E041037,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,6FL",,"$63,675.00","Nov 21, 2007",,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA93508E041038,,E041038,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,507,6FL",,"$64,500.00","Nov 29, 2007",475,,,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSVA93528E041039,,E041039,"MSRP.3,ZCW,2MT.1,4MX",,"$59,100.00","Nov 28, 2007",475,,,,,,,,,,
A30 - Interlagos Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,2008,WBSVA93598E041040,,E041040,"MSRP.3,ZCW,2MT.1,4MX,609",,"$61,200.00","Nov 28, 2007",475,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH1 - Silver Novillo Leather,2008,WBSVA93508E041041,,E041041,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,6FL,653",,"$64,500.00","Nov 28, 2007",475,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93528E041042,,E041042,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,507,6FL,653",,"$64,850.00","Dec 5, 2007",475,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2008,WBSVA93548E041043,,E041043,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,507,6FL,653",,"$64,850.00","Dec 5, 2007",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93568E041044,,E041044,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,507,6FL,653",,"$65,900.00","Dec 4, 2007",475,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93588E041045,,E041045,"MSRP.3,ZCW,ZPP.1,2MT.1,609,6FL,653",,"$63,350.00","Dec 4, 2007",475,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSVA935X8E041046,,E041046,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,507,6FL,653",,"$65,900.00","Dec 4, 2007",475,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2008,WBSVA93518E041047,,E041047,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,6FL",,"$63,675.00","Dec 4, 2007",,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH1 - Silver Novillo Leather,2008,WBSVA93538E041048,,E041048,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Dec 7, 2007",475,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH3 - Beige Novillo Leather,2008,WBSVA93558E041049,,E041049,"MSRP.3,ZCW,ZPP.2,ZTP,2MT.1,302,403,417,507,6FL,752",,"$68,425.00","Dec 7, 2007",475,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2008,WBSVA93518E041050,,E041050,"MSRP.3,ZTP,2MK,771",,"$63,500.00","Nov 28, 2007",475/950,"New York, NY and imported to Germany",,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041051,,E041051,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93558E041052,,E041052,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93578E041053,,E041053,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93598E041054,,E041054,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93508E041055,,E041055,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93528E041056,,E041056,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93548E041057,,E041057,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93568E041058,,E041058,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93588E041059,,E041059,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 21, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93548E041060,,E041060,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 22, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93568E041061,,E041061,"MSRP.3,ZCW,ZPP.3,2MT.1,322,403,417,507,609,6FL,653,655,752",,"$68,920.00","Nov 22, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93588E041062,,E041062,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 22, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA935X8E041063,,E041063,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 22, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93518E041064,,E041064,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 22, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041065,,E041065,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 23, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93558E041066,,E041066,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 24, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93578E041067,,E041067,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 23, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93598E041068,,E041068,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 23, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93508E041069,,E041069,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 23, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93578E041070,,E041070,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 23, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93598E041071,,E041071,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 23, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93508E041072,,E041072,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 22, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93528E041073,,E041073,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 24, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93548E041074,,E041074,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 24, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93568E041075,,E041075,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 24, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93588E041076,,E041076,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 24, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA935X8E041077,,E041077,"MSRP.3,ZCW,ZPP.3,2MT.1,322,403,417,507,609,6FL,653,655,752",,"$68,920.00","Nov 24, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93518E041078,,E041078,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 24, 2007",475/1100,,,,,,,,,,
,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041079,,E041079,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$69,595.00","Nov 24, 2007",1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH2 - Fox Red Extended Leather,2008,WBSVA935X8E041080,,E041080,"MSRP.3,ZCW,ZPP.2,2MT.1,302,322,403,417,507,609,6FL,752",,"$68,375.00","Nov 27, 2007",475/1100,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2008,WBSVA93518E041081,,E041081,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$69,595.00","Nov 27, 2007",1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041082,,E041082,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 27, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93558E041083,,E041083,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,752",,"$69,475.00","Nov 27, 2007",475/1100,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2008,WBSVA93578E041084,,E041084,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$69,595.00","Nov 28, 2007",1100,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2008,WBSVA93598E041085,,E041085,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$69,595.00","Nov 28, 2007",1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93508E041086,,E041086,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 28, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93528E041087,,E041087,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 28, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93548E041088,,E041088,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Nov 29, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93568E041089,,E041089,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 1, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93528E041090,,E041090,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 1, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93548E041091,,E041091,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 1, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93568E041092,,E041092,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 1, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93588E041093,,E041093,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,302,403,417,6FL,653,655,752",,"$70,120.00","Dec 1, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA935X8E041094,,E041094,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 3, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93518E041095,,E041095,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 4, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041096,,E041096,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 4, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93558E041097,,E041097,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 4, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93578E041098,,E041098,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 4, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93598E041099,,E041099,"MSRP.3,ZCW,ZPP.1,2MT.1,322,403,417,507,609,6FL,653,655,752",,"$68,920.00","Dec 3, 2007",475/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSVA93518E041100,,E041100,"MSRP.3,ZCW,ZPP.1,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 3, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93538E041101,,E041101,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,752",,"$69,475.00","Dec 5, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93558E041102,,E041102,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 5, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93578E041103,,E041103,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 5, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93598E041104,,E041104,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 5, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93508E041105,,E041105,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 5, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93528E041106,,E041106,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 5, 2007",475/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSVA93548E041107,,E041107,"MSRP.3,ZCW,ZPP.3,ZTP,2MT.1,403,417,507,6FL,653,655,752",,"$70,070.00","Dec 5, 2007",475/1100,,,,,,,,,,
