EXTERIOR,Development code,INTERIOR,Year,VIN,,,,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
C28 - Donington Grey Metallic,F97,MAH7 - Black Vernasca Leather,2021,5YMTS0C09M9D90918,,9D90918,2MK,,,"Aug 13, 2020",,USA,"Trois-Rivieres BMW, Trois Rivieres, CA",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C00M9D91990,,9D91990,2MK,,,"Aug 14, 2020",,USA,"Schomp BMW of Highlands Ranch, Highlands Ranch, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C09M9D92037,,9D92037,2MK,,,"Aug 14, 2020",,USA,"Laurel BMW of Westmont, Westmont, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C02M9D92087,,9D92087,2MK,,,"Aug 14, 2020",,USA,"BMW of Westchester, White Plains, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C08M9D92269,,9D92269,2MK,,,"Aug 14, 2020",,USA,"Stevens Creek BMW, Santa Clara, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C06M9D92321,,9D92321,2MK,,,"Aug 14, 2020",,USA,"BMW of Spokane, Spokane, US",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C05M9D93590,,9D93590,2MK,,,"Aug 16, 2020",,USA,"Karl Knauz Motors, Lake Bluff, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C02M9D93787,,9D93787,2MK,,,"Aug 17, 2020",,USA,"BMW of Murray, Murray, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C0XM9D96209,,9D96209,2MK,,,"Aug 17, 2020",,USA,"BMW of Delray Beach, Delray Beach, US",,,,,,,,
300 - Alpine White,F97,MAH7 - Black Vernasca Leather,2021,5YMTS0C00M9D96316,,9D96316,2MK,,,"Aug 17, 2020",,USA,"Irvine BMW, Irvine, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C06M9D97065,,9D97065,2MK,,,"Aug 18, 2020",,USA,"BMW of Fairfax, Fairfax, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C04M9D97131,,9D97131,2MK,,,"Aug 18, 2020",,USA,"BMW North Scottsdale, Phoenix, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C03M9D97346,,9D97346,2MK,,,"Aug 19, 2020",,USA,"Peake BMW, Kenner, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C08M9D99836,,9D99836,2MK,,,"Aug 19, 2020",,USA,"Bavarian Motor Cars GmbH, Würzburg, DE",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C00M9D99927,,9D99927,2MK,,,"Aug 19, 2020",,USA,"BMW of Gwinnett Place, Duluth, US",,,,,,,,
,,,2021,,,9.00E+296,,,,"Aug 1, 2020",,,,,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C02M9E00334,,9E00334,2MK,,,"Aug 20, 2020",,USA,"Moses BMW, St. Albans, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C0XM9E00470,,9E00470,2MK,,,"Aug 20, 2020",,USA,"AH Euler Kaiserslautern GmbH, Kaiserslautern, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C06M9E01924,,9E01924,2MK,,,"Aug 21, 2020",,USA,"BMW of Springfield, Springfield, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C09M9E02128,,9E02128,2MK,,,"Aug 21, 2020",,USA,"Herb Chambers BMW, Charlestown, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C02M9E02164,,9E02164,2MK,,,"Aug 21, 2020",,USA,"BMW of Roseville, Roseville, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C07M9E02211,,9E02211,2MK,,,"Aug 21, 2020",,USA,"BMW of Anchorage, Anchorage, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C04M9E03302,,9E03302,2MK,,,"Aug 21, 2020",,USA,"BMW of Idaho Falls, Idaho Falls, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C00M9E03331,,9E03331,2MK,,,"Aug 21, 2020",,USA,"BMW of Denver Downtown, Denver, US",,,,,,,,
C28 - Donington Grey Metallic,F97,MAH7 - Black Vernasca Leather,2021,5YMTS0C02M9E03413,,9E03413,2MK,,,"Aug 22, 2020",,USA,"Orange County BMW, Harriman, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C0XM9E03630,,9E03630,2MK,,,"Aug 23, 2020",,USA,"BMW Portland, Portland, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C08M9E03688,,9E03688,2MK,,,"Aug 23, 2020",,USA,"BMW Seattle, Seattle, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C09M9E04476,,9E04476,2MK,,,"Aug 24, 2020",,USA,"Rallye BMW, Westbury, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C05M9E04734,,9E04734,2MK,,,"Aug 24, 2020",,USA,"BMW of Ramsey, Ramsey, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C02M9E04822,,9E04822,2MK,,,"Aug 25, 2020",,USA,"BMW of South Albany, Glenmont, US",,,,,,,,
C3G - Toronto Red Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2021,5YMTS0C03M9E04988,,9E04988,2MK,,,"Aug 25, 2020",,USA,"Fields BMW, Winter Park, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C02M9E06523,,9E06523,2MK,,,"Aug 25, 2020",,USA,"BMW of Springfield, Springfield, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C09M9E06664,,9E06664,2MK,,,"Aug 25, 2020",,USA,"BMW of Brooklyn, Brooklyn, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C05M9E07682,,9E07682,2MK,,,"Aug 27, 2020",,USA,"BMW of Lincoln, Lincoln, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C01M9E10143,,9E10143,2MK,,,"Aug 27, 2020",,USA,"AH Euler Kaiserslautern GmbH, Kaiserslautern, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C07M9E11314,,9E11314,2MK,,,"Aug 30, 2020",,USA,"Calgary BMW, Calgary, CA",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C05M9E13210,,9E13210,2MK,,,"Aug 31, 2020",,USA,"Budds' BMW Oakville, Oakville, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C0XM9E13297,,9E13297,2MK,,,"Aug 31, 2020",,USA,"BMW Laval, Laval, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C07M9E13354,,9E13354,2MK,,,"Aug 31, 2020",,USA,"BMW Levis, Levis, CA",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C01M9E13785,,9E13785,2MK,,,"Sep 1, 2020",,USA,"BMW of San Francisco, San Francisco, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C00M9E14331,,9E14331,2MK,,,"Sep 1, 2020",,USA,"Chapman BMW, Chandler, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C04M9E14378,,9E14378,2MK,,,"Sep 1, 2020",,USA,"BMW of Westlake, Cuyahoga, US",,,,,,,,
475 - Black Sapphire Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C0XM9E14465,,9E14465,2MK,,,"Sep 2, 2020",,USA,"BMW of Honolulu, Honolulu, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C00M9E16273,,9E16273,2MK,,,"Sep 2, 2020",,USA,"Open Road BMW, Edison, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C06M9E16536,,9E16536,2MK,,,"Sep 3, 2020",,USA,"BMW of Murray, Murray, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C0XM9E16670,,9E16670,2MK,,,"Sep 3, 2020",,USA,"Schomp BMW of Highlands Ranch, Highlands Ranch, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C05M9E16785,,9E16785,2MK,,,"Sep 3, 2020",,USA,"Stevens Creek BMW, Santa Clara, US",,,,,,,,
300 - Alpine White,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C0XM9E16975,,9E16975,2MK,,,"Sep 3, 2020",,USA,"Tulley BMW, Nashua, US",,,,,,,,
475 - Black Sapphire Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C03M9E17028,,9E17028,2MK,,,"Sep 3, 2020",,USA,"BMW Laval, Laval, CA",,,,,,,,
