EXTERIOR,,INTERIOR,Year,VIN,,,Package Codes,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12493,,VA12493,2MK,,,"Jul 8, 2017",,,"Otto's BMW, CAN",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12494,,VA12494,,,,"Jul 8, 2017",,,Tom Bush BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12495,,VA12495,,,,"Jul 8, 2017",,,Steve Thomas BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12496,,VA12496,,,,"Jul 8, 2017",,,Advantage BMW of Clear Lake,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12497,,VA12497,2MK,,,"Jul 8, 2017",,,Park Ave BMW,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12498,,VA12498,,,,"Jul 8, 2017",,,Hendrick BMW,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12499,,VA12499,,,,"Jul 10, 2017",,,"Trois-Rivieres BMW, Trois Rivieres, CA",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12500,,VA12500,2MK,,,"Jul 10, 2017",,,East Bay BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12501,,VA12501,,,,"Jul 10, 2017",,,Autohaus BMW of Maplewood,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12502,,VA12502,2MK,,,"Jul 10, 2017",,,Beverly Hills BMW,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12503,,VA12503,2MK,,,"Jul 10, 2017",,,BMW of Fairfax,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12504,,VA12504,2MK,,,"Jul 10, 2017",,,Advantage BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12505,,VA12505,,,,"Jul 10, 2017",,,BMW Encinitas,,,,,,,,
